OBJID;RA;DEC;NAME;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;NUFNU_3000EV;NUFNU_ERROR_3000EV;NUFNU_500EV;NUFNU_ERROR_500EV;UPPER_LIMIT_500EV;NUFNU_1500EV;NUFNU_ERROR_1500EV;UPPER_LIMIT_1500EV;NUFNU_4500EV;NUFNU_ERROR_4500EV;UPPER_LIMIT_4500EV;COUNTRATES_300_10000EV;COUNTRATES_ERROR_300_10000EV;COUNTRATES_300_1000EV;COUNTRATES_ERROR_300_1000EV;UPPER_LIMIT_300_1000EV;COUNTRATES_1000_2000EV;COUNTRATES_ERROR_1000_2000EV;UPPER_LIMIT_1000_2000EV;COUNTRATES_2000_10000EV;COUNTRATES_ERROR_2000_10000EV;UPPER_LIMIT_2000_10000EV;RUNID;SNR
43;5.61564;1.40368;SDSX_J002227.8+012413.2;2.83e+20;0.8;-999/-999;13484.3;3.22546e-14;7.30552e-15;1.27452e-14;6.1373e-15;-999;3.23023e-14;1.1785e-14;-999;4.90335e-14;1.78892e-14;-999;0.00234;0.00053;0.00052;0.0002504;-999;0.00091;0.000332;-999;0.00091;0.000332;-999;12_5_1;13488.7
44;5.73749;1.35789;SDSX_J002257.0+012128.4;2.79e+20;0.8;-999/-999;13484.3;6.27684e-14;9.6355e-15;4.33215e-14;1.06581e-14;-999;6.7412e-14;1.60476e-14;-999;4.77646e-14;1.65358e-14;-999;0.00456;0.0007;0.001773;0.0004362;-999;0.0019;0.0004523;-999;0.0008865;0.0003069;-999;12_5_1;13490.8
45;5.58769;1.41154;SDSX_J002221.0+012441.5;2.84e+20;0.8;-999/-999;13249.1;1.72363e-14;5.65349e-15;1.53331e-14;7.13794e-15;-999;1.10941e-14;7.2777e-15;-999;1.68388e-14;1.10462e-14;-999;0.00125;0.00041;0.0006251;0.000291;-999;0.0003125;0.000205;-999;0.0003125;0.000205;-999;12_5_1;13252.1
46;5.51361;1.32643;SDSX_J002203.3+011935.1;2.83e+20;0.8;-999/-999;13484.3;1.90219e-14;5.78928e-15;2.81865e-15;2.98042e-15;-999;2.85715e-14;1.13768e-14;-999;2.47862e-14;1.31043e-14;-999;0.00138;0.00042;0.000115;0.0001216;-999;0.0008049;0.0003205;-999;0.00046;0.0002432;-999;12_5_1;13487.6
47;5.76366;1.25897;SDSX_J002303.3+011532.3;2.75e+20;1.056;+0.17/-0.13;13484.3;1.4052e-13;1.19823e-14;1.63175e-13;1.94671e-14;-999;1.32069e-13;2.04328e-14;-999;1.35401e-13;2.4796e-14;-999;0.0129;0.0011;0.006388;0.0007621;-999;0.003809;0.0005893;-999;0.002703;0.000495;-999;12_5_1;13496
48;5.63156;1.15203;SDSX_J002231.6+010907.3;2.7e+20;0.8;-999/-999;13484.3;1.32966e-14;5.07714e-15;1.16419e-14;-8.96797e-12;1.94816e-14;1.28761e-14;7.91065e-15;-999;3.26357e-14;1.58222e-14;-999;0.000969;0.00037;0.0004798;-0.3696;0.0008029;0.0003633;0.0002232;-999;0.0006058;0.0002937;-999;12_5_1;13486.9
49;5.65288;1.14739;SDSX_J002236.7+010850.6;2.7e+20;0.8;-999/-999;13484.3;4.07543e-14;8.2332e-15;5.40602e-14;1.25202e-14;-999;2.10525e-14;9.56934e-15;-999;7.99999e-15;7.1111e-15;-999;0.00297;0.0006;0.002228;0.000516;-999;0.000594;0.00027;-999;0.0001485;0.000132;-999;12_5_1;13489.2
50;5.6303;1.13669;SDSX_J002231.3+010812.1;2.7e+20;0.8;-999/-999;13445.7;2.79929e-14;6.99822e-15;2.28518e-14;8.45115e-15;-999;2.78113e-14;1.12422e-14;-999;1.69104e-14;1.07205e-14;-999;0.00204;0.00051;0.0009418;0.0003483;-999;0.0007847;0.0003172;-999;0.0003139;0.000199;-999;12_5_1;13449.7
51;5.71982;1.45475;SDSX_J002252.8+012717.1;2.83e+20;0.8;-999/-999;13464.1;6.42334e-14;1.04758e-14;3.26228e-14;1.02452e-14;-999;7.08875e-14;1.821e-14;-999;7.17183e-14;2.25231e-14;-999;0.00466;0.00076;0.001331;0.000418;-999;0.001997;0.000513;-999;0.001331;0.000418;-999;12_5_1;13470.2
52;14.102;-1.27731;SDSX_J005624.5-011638.3;3.54e+20;0.8;-999/-999;4572.8;7.69431e-14;2.1177e-14;2.16995e-14;1.55274e-14;-999;1.05067e-13;4.02727e-14;-999;9.04641e-14;4.60196e-14;-999;0.00545;0.0015;0.0008385;0.0006;-999;0.002935;0.001125;-999;0.001677;0.0008531;-999;0_14_-1;4576.43
53;14.0797;-1.2495;SDSX_J005619.1-011458.2;3.52e+20;0.8;-999/-999;4684.2;6.20796e-14;1.97526e-14;1.26332e-14;1.25221e-14;-999;7.00033e-14;3.43038e-14;-999;1.05511e-13;5.17034e-14;-999;0.0044;0.0014;0.0004889;0.0004846;-999;0.001956;0.0009585;-999;0.001956;0.0009585;-999;0_14_-1;4687.34
54;14.0958;-1.22764;SDSX_J005623.0-011339.5;3.51e+20;0.8;-999/-999;4649.6;5.40183e-14;1.97456e-14;2.19754e-14;1.75189e-14;-999;4.56974e-14;3.00594e-14;-999;9.18615e-14;5.22796e-14;-999;0.00383;0.0014;0.0008511;0.0006785;-999;0.001277;0.00084;-999;0.001703;0.0009692;-999;0_14_-1;4652.34
55;14.0684;-1.23484;SDSX_J005616.4-011405.4;3.51e+20;0.8;-999/-999;4642;8.01107e-14;2.25664e-14;1.12808e-14;1.18772e-14;-999;9.37925e-14;3.93635e-14;-999;1.41379e-13;5.93351e-14;-999;0.00568;0.0016;0.0004369;0.00046;-999;0.002621;0.0011;-999;0.002621;0.0011;-999;0_14_-1;4645.55
56;14.0705;-1.22122;SDSX_J005616.9-011316.4;3.5e+20;0.8;-999/-999;4587.3;7.1346e-14;2.115e-14;5.44143e-14;2.41884e-14;-999;4.5263e-14;2.64994e-14;-999;9.09428e-14;4.60162e-14;-999;0.00506;0.0015;0.002109;0.0009375;-999;0.001265;0.0007406;-999;0.001686;0.0008531;-999;0_14_-1;4590.67
57;14.0557;-1.2487;SDSX_J005613.4-011455.3;3.51e+20;0.8;-999/-999;4462.9;5.76854e-14;1.97456e-14;5.28019e-14;2.58716e-14;-999;5.48584e-14;3.12153e-14;-999;2.75746e-14;2.73049e-14;-999;0.00409;0.0014;0.002045;0.001002;-999;0.001533;0.0008723;-999;0.0005112;0.0005062;-999;0_14_-1;4465.82
58;14.1078;-1.35617;SDSX_J005625.9-012122.2;3.57e+20;0.8;-999/-999;4736.2;4.40918e-14;1.69584e-14;4.04633e-14;2.28254e-14;-999;4.18989e-14;-4.29374e-11;1.23047e-13;8.41558e-14;4.74725e-14;-999;0.00312;0.0012;0.00156;0.00088;-999;0.00117;-1.199;0.003436;0.00156;0.00088;-999;0_14_-1;4738.8
59;14.0127;-1.23938;SDSX_J005603.0-011421.8;3.5e+20;0.8;-999/-999;4647.6;4.8927e-14;1.833e-14;2.55791e-14;1.82387e-14;-999;8.87011e-14;4.07188e-14;-999;9.35859e-14;-7.00681e-11;1.76815e-13;0.00347;0.0013;0.0009914;0.0007069;-999;0.002479;0.001138;-999;0.001735;-1.299;0.003278;0_14_-1;4650.27
60;24.9234;-0.101191;SDSX_J013941.6-000604.3;2.79e+20;0.8;-999/-999;823;1.48662e-13;5.91895e-14;0;-1.04968e-10;-6.45058e-08;0;-1.52422e-10;-9.36672e-08;0;-2.31468e-10;-1.42243e-07;0.0108;0.0043;0;-4.296;-2640;0;-4.296;-2640;0;-4.296;-2640;7_25_0;825.512
61;21.3707;-0.0984472;SDSX_J012529.0-000554.4;3.14e+20;0.648;+0.14/-0.11;4196.2;7.35814e-13;5.64804e-14;3.07165e-13;4.58317e-14;-999;6.95694e-13;8.34544e-14;-999;8.39113e-13;1.15301e-13;-999;0.0469;0.0036;0.01264;0.001886;-999;0.01929;0.002314;-999;0.01497;0.002057;-999;1_21_0;4209.23
